ncr_id,linked_inspection_id,site,supplier,part_number,part_description,severity,status,description,root_cause,corrective_action,opened_at,reviewed_at,closed_at
NCR-2024-001,INS-2024-002,Factory-A,Acme Corp,PN-12346,Shaft,HIGH,CLOSED,Shaft diameter out of specification,Supplier tooling calibration error,Supplier recalibrated equipment and submitted new samples,2024-01-15 14:30:00,2024-01-20 09:00:00,2024-01-25 16:00:00
NCR-2024-002,INS-2024-004,Factory-A,Gamma Tech,PN-34567,Bolt M8,MEDIUM,CLOSED,Undersized bolt dimensions,Raw material variance,Supplier changed material batch and improved QC,2024-01-17 10:15:00,2024-01-22 11:30:00,2024-02-05 14:00:00
NCR-2024-003,INS-2024-006,Factory-A,Acme Corp,PN-12345,Bearing Housing,HIGH,OPEN,Bearing housing oversized - multiple failures,Unknown - investigation ongoing,TBD - awaiting root cause analysis,2024-01-19 08:00:00,2024-01-25 10:00:00,
NCR-2024-004,INS-2024-009,Factory-C,Gamma Tech,PN-67890,Spring,CRITICAL,IN_REVIEW,Spring force below specification,Heat treatment process deviation,Supplier reviewing heat treatment parameters,2024-01-22 13:45:00,2024-01-28 15:00:00,
NCR-2024-005,INS-2024-011,Factory-A,Acme Corp,PN-12345,Bearing Housing,HIGH,OPEN,Continued bearing housing dimension issues,Related to NCR-2024-003,Investigation in progress,2024-01-24 09:30:00,2024-01-30 11:00:00,
NCR-2024-006,INS-2024-013,Factory-C,Gamma Tech,PN-34567,Bolt M8,MEDIUM,CLOSED,Oversized bolt - scrap required,Machine tool wear,Supplier replaced worn tooling,2024-01-26 14:00:00,2024-02-01 09:30:00,2024-02-08 12:00:00
NCR-2024-007,INS-2024-015,Factory-B,Acme Corp,PN-56789,Clutch Plate,CRITICAL,OPEN,Clutch plate friction coefficient below minimum,Material composition issue suspected,Supplier conducting material analysis,2024-01-28 11:20:00,2024-02-02 14:00:00,
NCR-2024-008,,Factory-A,Beta Industries,PN-23456,Gear Assembly,LOW,CLOSED,Packaging damage during transit,Inadequate protective packaging,Improved packaging specification implemented,2024-01-29 16:00:00,2024-02-03 10:00:00,2024-02-07 15:30:00
NCR-2024-009,INS-2024-018,Factory-A,Acme Corp,PN-12345,Bearing Housing,CRITICAL,OPEN,Persistent bearing housing quality issues - supplier audit required,Systemic supplier quality control failure,Supplier audit scheduled for 2024-02-15,2024-02-01 07:30:00,2024-02-05 09:00:00,
NCR-2024-010,,Factory-C,Delta Supply,PN-45678,Washer,LOW,CLOSED,Surface finish inconsistency,Polishing process variation,Supplier standardized polishing procedure,2024-02-02 12:00:00,2024-02-06 13:00:00,2024-02-09 10:00:00
NCR-2024-011,INS-2024-017,Factory-C,Gamma Tech,PN-78901,Gasket,MEDIUM,IN_REVIEW,Gasket thickness below minimum specification,Material compression during manufacturing,Supplier investigating compression process,2024-01-30 15:30:00,2024-02-04 11:00:00,
NCR-2024-012,,Factory-B,Beta Industries,PN-56789,Clutch Plate,HIGH,OPEN,Documentation missing - certificate of conformance,Administrative error,Supplier to provide missing documentation,2024-02-03 09:00:00,,
